"5c4b85a1dccaa800016b4821_old_old_old","45623","mt5_base","1","1","1","2","51"
"5c4b85a1dccaa800016b4821_old_old_old","154227","bloom_adapted","1","1","1","1","10"
"5c4b85a1dccaa800016b4821_old_old_old","1060751","gpt4","5","6","5","5","106"
"57754d57ca706f000190eaf1_old_old_old","209906","mt5_base","5","5","5","5","66"
"57754d57ca706f000190eaf1_old_old_old","154227","mt_zeroshot","1","2","2","4","28"
"57754d57ca706f000190eaf1_old_old_old","288693","mt_zeroshot","4","3","3","4","23"
"646e9ad23bc85e76cb65c33b_old_old_old","288693","bloom_adapted","2","1","1","1","92"
"63e57efd493c7c8840aacad5_old_old_old","937821","bloom_adapted","2","6","4","6","246"
"6393bf5401e4b2d09ffcb44d_old_old_old","552791","bloom_adapted","6","6","6","6","54"
"646e9ad23bc85e76cb65c33b_old_old_old","521999","mt_finetuned","5","1","1","1","27"
"6393bf5401e4b2d09ffcb44d_old_old_old","60899","mt_finetuned","1","1","1","1","38"
"63e57efd493c7c8840aacad5_old_old_old","45623","mt_finetuned","3","1","1","1","46"
"646e9ad23bc85e76cb65c33b_old_old_old","60899","bloom_adapted","2","6","2","3","48"
"63e57efd493c7c8840aacad5_old_old_old","70918","mt5_base","2","3","1","1","27"
"6393bf5401e4b2d09ffcb44d_old_old_old","311779","bloom_adapted","6","5","6","5","36"
"648ccd2afd3b0807d6553e5b_old_old_old","937821","mt_finetuned","4","3","4","4","197"
"5b7f91f8c4e6ad0001d3e4b3_old_old_old","60899","gpt4","6","7","7","6","63"
"5b7f91f8c4e6ad0001d3e4b3_old_old_old","317572","mt_zeroshot","3","1","1","3","82"
"648ccd2afd3b0807d6553e5b_old_old_old","552791","mt_finetuned","5","3","3","6","148"
"648ccd2afd3b0807d6553e5b_old_old_old","49661","mt_finetuned","4","2","3","5","109"
"5b7f91f8c4e6ad0001d3e4b3_old_old_old","125699","mt_finetuned","6","2","1","4","43"
"5ac0df645cd1050001620c52_old_old_old","535994","mt_finetuned","3","2","2","2","32"
"5ac0df645cd1050001620c52_old_old_old","125699","mt_zeroshot","3","2","2","1","19"
"5ac0df645cd1050001620c52_old_old_old","311779","mt_finetuned","2","2","1","1","20"
"5b868686c9467e0001957658_old_old_old","311779","mt_zeroshot","1","1","1","1","18"
"5b868686c9467e0001957658_old_old_old","311779","gpt4","4","4","4","3","11"
"5b868686c9467e0001957658_old_old_old","211985","bloom_adapted","3","3","3","3","12"
"5c4b85a1dccaa800016b4821_old_old_old","209906","mt_zeroshot","1","2","2","2","27"
"63f6f4a6f6933c29e52ed4c3_old_old_old","521999","gpt4","7","7","7","7","44"
"6479ef255eeda61e229715e4_old_old_old","1060751","mt_zeroshot","2","2","3","3","61"
"648ccd2afd3b0807d6553e5b_old_old_old","49661","mt_zeroshot","5","2","1","2","93"
"5fbe5321e3dc2e000927aeca_old_old_old","70918","mt_finetuned","6","5","1","6","118"
"5fbe5321e3dc2e000927aeca_old_old_old","937821","mt_zeroshot","1","1","1","1","34"
"5fbe5321e3dc2e000927aeca_old_old_old","133071","bloom_adapted","5","4","7","1","37"
"64413c5a1fc48a3c410f332c_old_old_old","70918","mt_zeroshot","3","1","2","5","65"
"63cee98c7cce75401646795a_old_old_old","70918","bloom_adapted","3","3","3","3","114"
"64413c5a1fc48a3c410f332c_old_old_old","125699","bloom_adapted","5","6","3","2","51"
"64413c5a1fc48a3c410f332c_old_old_old","60899","mt_zeroshot","5","7","4","5","36"
"63cee98c7cce75401646795a_old_old_old","211985","gpt4","5","5","6","5","70"
"63cee98c7cce75401646795a_old_old_old","317572","bloom_adapted","3","3","3","3","49"
"63cee98c7cce75401646795a_old_old_old","317572","bloom_adapted","3","3","3","3","49"
"646e9ad23bc85e76cb65c33b_old_old_old","49661","mt5_base","1","1","3","1","13"
"5f160514e2a4062d2a0ded58_old_old_old","125699","mt5_base","1","1","1","1","28"
"5f160514e2a4062d2a0ded58_old_old_old","535994","mt5_base","7","7","7","7","22"
"5f160514e2a4062d2a0ded58_old_old_old","154227","mt_finetuned","7","7","7","7","16"
"636155035a53907e8c192d5b_old_old_old","288693","mt5_base","6","6","5","6","72"
"63e52478ebc8e17c77aacaa9_old_old_old","521999","mt5_base","5","6","6","6","12"
"63e52478ebc8e17c77aacaa9_old_old_old","133105","mt5_base","6","6","6","6","4"
"63e52478ebc8e17c77aacaa9_old_old_old","288693","mt_finetuned","6","5","5","6","9"
"5f1703a31ea06d025b729ad9_old_old_old","311779","mt5_base","7","7","7","7","18"
"5f1703a31ea06d025b729ad9_old_old_old","133105","mt_zeroshot","4","4","4","5","12"
"5f1703a31ea06d025b729ad9_old_old_old","552791","mt_zeroshot","3","5","4","4","12"
"5c4b85a1dccaa800016b4821_old_old_old","211985","mt_finetuned","6","6","5","6","30"
"60ed9977567d0ab8e6fc6418_old_old_old","45623","mt_zeroshot","6","6","3","6","330"
"60ed9977567d0ab8e6fc6418_old_old_old","209906","mt_finetuned","6","5","2","7","199"
"60ed9977567d0ab8e6fc6418_old_old_old","133105","bloom_adapted","1","1","1","1","53"
"5bb9f9dad5330e000101a241_old_old_old","535994","mt_zeroshot","1","1","1","2","295"
"5bb9f9dad5330e000101a241_old_old_old","60899","mt5_base","5","2","1","5","30"
"5bb9f9dad5330e000101a241_old_old_old","317572","mt_finetuned","6","6","1","5","38"
"57754d57ca706f000190eaf1_old_old_old","937821","mt5_base","5","5","5","5","40"
"62740cf8e39eba1055ef571b_old_old_old","133071","mt5_base","1","1","1","1","126"
"60ed9977567d0ab8e6fc6418_old_old_old","535994","bloom_adapted","2","1","1","1","279"
"6479ef255eeda61e229715e4_old_old_old","154227","gpt4","6","5","5","5","89"
"637f85fbb4f2fffacdc681db_old_old_old","133071","mt_finetuned","7","7","7","7","19"
"6365b5599c1775edb6d46be4_old_old_old","154227","mt5_base","5","5","5","2","7"
"6365b5599c1775edb6d46be4_old_old_old","1060751","mt_finetuned","5","5","5","2","7"
"6365b5599c1775edb6d46be4_old_old_old","521999","mt_zeroshot","4","4","3","2","6"
"648ccd2afd3b0807d6553e5b_old_old_old","317572","mt5_base","5","5","3","5","233"
"64413c5a1fc48a3c410f332c_old_old_old","552791","mt5_base","6","5","2","5","80"
"6393bf5401e4b2d09ffcb44d_old_old_old","1060751","mt5_base","1","1","1","1","16"
"63e57efd493c7c8840aacad5_old_old_old","133071","mt_zeroshot","1","1","1","1","44"
"63b76a562fa0b721dffe1e29_old_old_old","209906","gpt4","7","7","7","6","90"
"5ac0df645cd1050001620c52_old_old_old","209906","bloom_adapted","6","5","6","6","84"
"6323f6da8ff5d9cd85b0ffc7_old_old_old","521999","bloom_adapted","1","1","1","1","19"
"5d877c37c3e7ca001816fb8f_old_old_old","211985","mt_zeroshot","1","1","1","3","89"
"648c7323e84d92ce663a0111_old_old_old","1060751","bloom_adapted","4","5","5","5","267"
"648ccd2afd3b0807d6553e5b_old_old_old","199236","mt_zeroshot","4","4","5","4","200"
"646e9ad23bc85e76cb65c33b_old_old_old","937821","human","2","1","1","2","37"
"6393bf5401e4b2d09ffcb44d_old_old_old","288693","human","6","6","6","6","14"
"63e57efd493c7c8840aacad5_old_old_old","311779","human","2","4","6","6","46"
"62740cf8e39eba1055ef571b_old_old_old","125699","human","2","2","2","2","234"
"5bb9f9dad5330e000101a241_old_old_old","703262","mt_finetuned","6","6","2","7","106"
"63ed82d61fc2619988e42a7f_old_old_old","90392","bloom_adapted","1","1","1","1","52"
"63ed82d61fc2619988e42a7f_old_old_old","583687","mt_zeroshot","1","1","1","1","22"
"63ed82d61fc2619988e42a7f_old_old_old","93224","mt_finetuned","3","4","5","4","30"
"60ed9977567d0ab8e6fc6418_old_old_old","93224","bloom_adapted","1","1","1","1","93"
"60ed9977567d0ab8e6fc6418_old_old_old","583687","mt5_base","1","1","1","1","271"
"6365b5599c1775edb6d46be4_old_old_old","1060751","human","3","3","5","6","74"
"5c4b85a1dccaa800016b4821_old_old_old","317572","human","4","4","4","3","33"
"57754d57ca706f000190eaf1_old_old_old","90392","mt5_base","5","5","6","6","80"
"5c7ce72528933500165ebefc_old_old_old","199236","gpt4","7","7","7","7","174"
"5c7ce72528933500165ebefc_old_old_old","209906","human","7","6","6","6","96"
"5c7ce72528933500165ebefc_old_old_old","583687","mt_finetuned","6","2","1","4","65"
"5c55aa4dcf1cd900018d19d1_old_old_old","45623","human","1","2","5","3","166"
"5c55aa4dcf1cd900018d19d1_old_old_old","199236","mt5_base","2","2","1","3","74"
